image,dataset,policy,verifier,prompt,N_gt,N_obs,N_supp,N_cons,precision,recall,f1,pool_recall,per_pass_pool_recall,cost,n_actions,seconds
carpk_00000,carpk,vlm,ioc+iom_only+ftile,car,120,120,104,120,,,,,,8.95,4,11.571
carpk_00001,carpk,vlm,ioc+iom_only+ftile,car,110,114,104,114,,,,,,8.95,4,10.836
carpk_00002,carpk,vlm,ioc+iom_only+ftile,car,87,16,14,16,,,,,,8.2,4,10.376
carpk_00003,carpk,vlm,ioc+iom_only+ftile,car,56,33,30,33,,,,,,7.45,4,9.794
carpk_00004,carpk,vlm,ioc+iom_only+ftile,car,91,35,31,35,,,,,,8.95,4,10.493
carpk_00005,carpk,vlm,ioc+iom_only+ftile,car,42,11,11,11,,,,,,9.95,4,12.574
carpk_00006,carpk,vlm,ioc+iom_only+ftile,car,164,8,6,7,,,,,,3.95,4,8.275
carpk_00007,carpk,vlm,ioc+iom_only+ftile,car,116,14,13,11,,,,,,9.2,4,11.809
carpk_00008,carpk,vlm,ioc+iom_only+ftile,car,118,121,108,121,,,,,,8.95,4,10.64
carpk_00009,carpk,vlm,ioc+iom_only+ftile,car,136,147,133,141,,,,,,8.95,4,10.905
carpk_00010,carpk,vlm,ioc+iom_only+ftile,car,173,176,164,175,,,,,,8.95,4,10.81
carpk_00011,carpk,vlm,ioc+iom_only+ftile,car,99,2,2,2,,,,,,6.15,3,8.329
carpk_00012,carpk,vlm,ioc+iom_only+ftile,car,116,126,108,121,,,,,,8.95,4,10.794
carpk_00013,carpk,vlm,ioc+iom_only+ftile,car,24,27,27,27,,,,,,8.2,4,10.222
carpk_00014,carpk,vlm,ioc+iom_only+ftile,car,120,30,27,28,,,,,,15.85,12,23.612
carpk_00015,carpk,vlm,ioc+iom_only+ftile,car,155,16,12,16,,,,,,16.85,12,28.023
carpk_00016,carpk,vlm,ioc+iom_only+ftile,car,113,116,102,116,,,,,,8.95,4,10.602
carpk_00017,carpk,vlm,ioc+iom_only+ftile,car,73,30,27,29,,,,,,7.45,4,9.845
carpk_00018,carpk,vlm,ioc+iom_only+ftile,car,69,34,29,34,,,,,,7.45,4,9.842
carpk_00019,carpk,vlm,ioc+iom_only+ftile,car,118,4,3,3,,,,,,5.45,4,8.575
carpk_00020,carpk,vlm,ioc+iom_only+ftile,car,157,4,4,4,,,,,,3.95,4,8.222
carpk_00021,carpk,vlm,ioc+iom_only+ftile,car,113,10,7,8,,,,,,6.2,4,10.146
carpk_00022,carpk,vlm,ioc+iom_only+ftile,car,9,10,10,10,,,,,,8.95,4,12.364
carpk_00023,carpk,vlm,ioc+iom_only+ftile,car,126,129,115,128,,,,,,8.95,4,10.88
carpk_00024,carpk,vlm,ioc+iom_only+ftile,car,155,163,133,163,,,,,,8.95,4,11.126
carpk_00025,carpk,vlm,ioc+iom_only+ftile,car,155,157,130,153,,,,,,8.95,4,10.917
carpk_00026,carpk,vlm,ioc+iom_only+ftile,car,118,40,38,38,,,,,,18.35,12,26.936
carpk_00027,carpk,vlm,ioc+iom_only+ftile,car,129,130,116,130,,,,,,8.95,4,10.928
carpk_00028,carpk,vlm,ioc+iom_only+ftile,car,82,26,25,26,,,,,,7.45,4,9.502
carpk_00029,carpk,vlm,ioc+iom_only+ftile,car,116,17,15,16,,,,,,9.2,4,12.018
carpk_00030,carpk,vlm,ioc+iom_only+ftile,car,158,162,138,159,,,,,,8.95,4,10.921
carpk_00031,carpk,vlm,ioc+iom_only+ftile,car,115,123,112,117,,,,,,8.95,4,10.716
carpk_00032,carpk,vlm,ioc+iom_only+ftile,car,145,26,20,26,,,,,,18.4,8,22.473
carpk_00033,carpk,vlm,ioc+iom_only+ftile,car,73,25,23,23,,,,,,7.45,4,10.104
carpk_00034,carpk,vlm,ioc+iom_only+ftile,car,95,3,3,2,,,,,,5.15,3,7.702
carpk_00035,carpk,vlm,ioc+iom_only+ftile,car,104,50,43,48,,,,,,11.2,4,11.993
carpk_00036,carpk,vlm,ioc+iom_only+ftile,car,114,117,110,116,,,,,,8.95,4,10.987
carpk_00037,carpk,vlm,ioc+iom_only+ftile,car,151,28,22,27,,,,,,8.2,4,9.866
carpk_00038,carpk,vlm,ioc+iom_only+ftile,car,142,8,7,6,,,,,,6.2,4,8.453
carpk_00039,carpk,vlm,ioc+iom_only+ftile,car,85,24,20,23,,,,,,8.2,4,10.0
carpk_00040,carpk,vlm,ioc+iom_only+ftile,car,167,178,149,173,,,,,,8.95,4,10.962
carpk_00041,carpk,vlm,ioc+iom_only+ftile,car,73,29,25,26,,,,,,7.45,4,9.593
carpk_00042,carpk,vlm,ioc+iom_only+ftile,car,99,4,4,4,,,,,,9.95,4,12.493
carpk_00043,carpk,vlm,ioc+iom_only+ftile,car,141,146,130,144,,,,,,8.95,4,10.948
carpk_00044,carpk,vlm,ioc+iom_only+ftile,car,123,130,120,127,,,,,,8.95,4,10.679
carpk_00045,carpk,vlm,ioc+iom_only+ftile,car,120,1,1,1,,,,,,4.4,3,6.624
carpk_00046,carpk,vlm,ioc+iom_only+ftile,car,53,35,34,34,,,,,,8.2,4,10.07
carpk_00047,carpk,vlm,ioc+iom_only+ftile,car,6,6,6,6,,,,,,9.7,4,10.877
carpk_00048,carpk,vlm,ioc+iom_only+ftile,car,143,150,119,148,,,,,,8.95,4,11.104
carpk_00049,carpk,vlm,ioc+iom_only+ftile,car,108,7,5,6,,,,,,6.2,4,9.143
carpk_00050,carpk,vlm,ioc+iom_only+ftile,car,92,14,14,12,,,,,,11.25,5,14.729
carpk_00051,carpk,vlm,ioc+iom_only+ftile,car,143,149,123,148,,,,,,8.95,4,11.165
carpk_00052,carpk,vlm,ioc+iom_only+ftile,car,110,4,3,4,,,,,,5.45,4,8.584
carpk_00053,carpk,vlm,ioc+iom_only+ftile,car,148,158,127,157,,,,,,8.95,4,10.805
carpk_00054,carpk,vlm,ioc+iom_only+ftile,car,123,21,17,18,,,,,,8.95,4,10.637
carpk_00055,carpk,vlm,ioc+iom_only+ftile,car,110,3,3,3,,,,,,4.4,3,6.544
carpk_00056,carpk,vlm,ioc+iom_only+ftile,car,9,10,10,10,,,,,,8.95,4,10.442
carpk_00057,carpk,vlm,ioc+iom_only+ftile,car,110,7,7,7,,,,,,5.45,4,9.443
carpk_00058,carpk,vlm,ioc+iom_only+ftile,car,124,15,10,13,,,,,,7.45,4,9.803
carpk_00059,carpk,vlm,ioc+iom_only+ftile,car,142,152,117,150,,,,,,8.95,4,11.866
carpk_00060,carpk,vlm,ioc+iom_only+ftile,car,80,84,80,83,,,,,,8.95,4,10.71
carpk_00061,carpk,vlm,ioc+iom_only+ftile,car,130,138,113,137,,,,,,8.95,4,10.808
carpk_00062,carpk,vlm,ioc+iom_only+ftile,car,106,2,2,2,,,,,,7.15,3,9.015
carpk_00063,carpk,vlm,ioc+iom_only+ftile,car,75,7,5,7,,,,,,7.45,4,9.612
carpk_00064,carpk,vlm,ioc+iom_only+ftile,car,184,191,184,188,,,,,,8.95,4,10.948
carpk_00065,carpk,vlm,ioc+iom_only+ftile,car,2,5,5,4,,,,,,16.7,4,16.928
carpk_00066,carpk,vlm,ioc+iom_only+ftile,car,96,13,13,11,,,,,,9.2,4,12.166
carpk_00067,carpk,vlm,ioc+iom_only+ftile,car,111,22,18,22,,,,,,25.6,12,34.748
carpk_00068,carpk,vlm,ioc+iom_only+ftile,car,110,117,106,111,,,,,,8.95,4,11.022
carpk_00069,carpk,vlm,ioc+iom_only+ftile,car,87,13,12,12,,,,,,15.25,5,17.444
carpk_00070,carpk,vlm,ioc+iom_only+ftile,car,127,130,121,127,,,,,,8.95,4,10.286
carpk_00071,carpk,vlm,ioc+iom_only+ftile,car,80,0,0,0,,,,,,13.85,12,21.645
carpk_00072,carpk,vlm,ioc+iom_only+ftile,car,10,11,11,11,,,,,,8.2,4,10.188
carpk_00073,carpk,vlm,ioc+iom_only+ftile,car,74,40,36,37,,,,,,8.2,4,10.157
carpk_00074,carpk,vlm,ioc+iom_only+ftile,car,120,1,1,1,,,,,,4.15,3,7.061
carpk_00075,carpk,vlm,ioc+iom_only+ftile,car,103,67,50,65,,,,,,11.2,4,12.394
